basal,feed,mAb
1.73E+03,3.66E+01,1.62E+03
1.05E+03,4.06E+00,6.71E+02
1.31E+03,4.29E+01,1.39E+03
1.21E+03,3.93E+01,1.34E+03
1.09E+03,8.18E+01,1.82E+03
1.77E+03,2.20E+01,1.26E+03
1.38E+03,8.85E+01,2.08E+03
1.93E+03,8.13E+01,2.24E+03
1.26E+03,4.83E+01,1.47E+03
1.07E+03,4.87E+00,7.09E+02
8.32E+02,8.56E+01,1.71E+03
1.28E+03,3.30E+01,1.23E+03
1.68E+03,6.72E+01,2.02E+03
1.87E+03,3.42E+01,1.60E+03
5.51E+02,3.34E+01,8.82E+02
1.91E+03,8.47E+01,2.47E+03
1.32E+03,7.93E+00,1.05E+03
8.51E+02,1.75E+00,5.79E+02
1.52E+03,9.17E+01,2.16E+03
1.10E+03,9.97E+01,1.91E+03
1.29E+03,3.35E+00,7.92E+02
1.95E+03,7.16E+01,2.25E+03
1.22E+03,2.66E+01,1.26E+03
1.67E+03,1.88E+01,1.38E+03
1.20E+03,1.19E+01,1.03E+03
8.16E+02,4.71E+01,1.14E+03
1.94E+03,8.19E+01,2.64E+03
1.69E+03,3.61E+00,1.16E+03
9.05E+02,2.88E+00,5.96E+02
8.93E+02,6.09E+01,1.39E+03
1.51E+03,5.21E+01,1.59E+03
1.93E+03,3.47E+01,1.62E+03
1.05E+03,7.31E+01,1.67E+03
7.31E+02,4.01E+01,1.11E+03
1.22E+03,4.09E+01,1.31E+03
1.95E+03,9.83E+01,2.64E+03
1.26E+03,3.82E+01,1.24E+03
1.53E+03,3.28E+01,1.47E+03
9.95E+02,5.82E+01,1.37E+03
1.91E+03,2.33E+01,1.55E+03
1.12E+03,1.64E+01,9.47E+02
6.66E+02,4.28E+01,1.09E+03
1.68E+03,4.77E+01,1.69E+03
1.95E+03,9.08E+01,2.68E+03
1.54E+03,9.36E+01,2.29E+03
9.11E+02,2.92E+00,6.24E+02
1.39E+03,8.43E+00,9.97E+02
1.82E+03,1.16E+01,1.21E+03
6.67E+02,8.88E-02,4.99E+02
1.39E+03,9.45E+01,2.12E+03
