basal,feed,mAb
1.64E+03,9.99E+01,2.38E+03
1.50E+03,1.09E+02,2.35E+03
1.46E+03,2.56E+01,1.24E+03
1.41E+03,1.04E+02,2.08E+03
1.41E+03,7.90E+00,9.84E+02
1.31E+03,3.73E+01,1.32E+03
1.29E+03,7.13E+01,1.62E+03
1.40E+03,6.47E+01,1.60E+03
1.21E+03,1.26E+02,2.36E+03
1.41E+03,1.76E+01,1.04E+03
1.40E+03,1.56E+01,1.06E+03
1.23E+03,1.90E+01,1.01E+03
1.38E+03,7.31E+01,1.96E+03
1.44E+03,3.14E+01,1.21E+03
1.46E+03,5.24E+01,1.64E+03
1.57E+03,1.54E+01,1.16E+03
1.28E+03,1.77E+01,7.81E+02
1.38E+03,2.76E+01,1.12E+03
1.40E+03,9.82E+01,2.24E+03
1.55E+03,3.68E+01,1.54E+03
1.34E+03,7.05E+01,1.77E+03
1.19E+03,6.83E+01,1.78E+03
1.31E+03,2.72E+01,1.10E+03
1.48E+03,1.78E+01,1.22E+03
1.33E+03,2.60E+01,1.15E+03
1.29E+03,2.97E+01,1.27E+03
1.39E+03,1.81E+01,1.10E+03
1.29E+03,1.35E+01,1.04E+03
1.41E+03,4.92E+01,1.60E+03
1.33E+03,9.12E+01,2.04E+03
1.38E+03,6.20E+00,8.72E+02
1.28E+03,2.44E+01,1.04E+03
1.29E+03,4.56E+01,1.37E+03
1.36E+03,1.21E+02,2.41E+03
1.19E+03,2.16E+01,1.23E+03
1.52E+03,8.95E+01,2.14E+03
1.39E+03,9.81E+01,2.09E+03
1.42E+03,8.27E+00,9.48E+02
1.37E+03,1.00E+02,2.28E+03
1.39E+03,1.28E+02,2.62E+03
1.44E+03,4.71E+01,1.51E+03
1.18E+03,2.42E+01,1.04E+03
1.27E+03,2.69E+01,1.20E+03
1.21E+03,1.67E+02,2.97E+03
1.21E+03,1.09E+02,2.25E+03
1.42E+03,2.69E+01,1.29E+03
1.31E+03,6.42E+01,1.76E+03
1.44E+03,1.44E+02,2.74E+03
1.37E+03,1.26E+02,2.55E+03
1.43E+03,8.86E+00,1.00E+03
