basal,feed,mAb
1.21E+03,1.04E+02,2.24E+03
1.23E+03,8.76E+01,2.03E+03
1.15E+03,7.69E+01,1.79E+03
1.05E+02,1.07E+02,1.59E+03
8.96E+02,1.26E+01,7.23E+02
9.91E+02,1.17E+02,2.15E+03
8.52E+02,6.99E+01,1.58E+03
7.18E+02,8.21E+01,1.70E+03
6.00E+02,6.35E+01,1.26E+03
1.72E+03,8.02E+01,2.10E+03
2.93E+02,4.11E+01,7.65E+02
5.74E+02,1.15E+02,1.84E+03
1.16E+03,3.15E+01,1.26E+03
1.34E+03,1.07E+02,2.39E+03
1.07E+03,1.45E+02,2.79E+03
1.03E+03,1.48E+02,2.60E+03
1.19E+03,5.95E+01,1.56E+03
1.13E+03,8.05E+01,1.73E+03
8.65E+02,1.46E+02,2.58E+03
4.24E+02,8.28E+01,1.37E+03
1.04E+03,1.04E+02,2.09E+03
6.57E+02,5.08E+01,1.12E+03
5.79E+02,7.71E+01,1.45E+03
1.18E+03,1.34E+02,2.51E+03
1.24E+03,4.94E+01,1.46E+03
7.61E+02,6.89E+01,1.47E+03
1.02E+03,5.30E+01,1.32E+03
8.13E+02,6.07E+01,1.37E+03
5.62E+02,5.38E+01,1.09E+03
5.35E+02,1.01E+02,1.68E+03
1.12E+03,4.77E+01,1.35E+03
1.14E+03,7.18E+01,1.72E+03
1.17E+03,1.35E+02,2.68E+03
9.42E+02,7.96E+01,1.55E+03
3.96E+02,7.65E+01,1.34E+03
1.71E+03,5.59E+01,1.79E+03
1.20E+03,1.05E+02,2.21E+03
1.49E+03,6.18E+01,1.77E+03
1.57E+03,5.04E+01,1.67E+03
6.00E+02,4.14E+01,9.99E+02
1.23E+03,1.10E+02,2.31E+03
6.55E+02,8.21E+01,1.57E+03
1.06E+03,7.23E+01,1.74E+03
1.12E+03,4.34E+01,1.32E+03
1.19E+03,2.20E+01,9.75E+02
1.52E+03,1.29E+02,2.68E+03
1.48E+03,1.28E+02,2.46E+03
7.13E+02,7.73E+01,1.50E+03
8.36E+02,8.12E+01,1.65E+03
2.78E+02,1.48E+02,2.18E+03
