basal,mAb
1.71E+03,8.62E+02
1.29E+03,8.14E+02
2.32E+03,1.33E+03
2.88E+03,1.61E+03
1.96E+03,1.01E+03
2.63E+03,1.51E+03
2.33E+03,1.37E+03
1.12E+03,6.16E+02
1.48E+03,7.94E+02
2.52E+03,1.34E+03
2.20E+03,1.23E+03
2.31E+03,1.39E+03
1.76E+03,1.15E+03
2.67E+03,1.79E+03
1.60E+03,8.96E+02
2.25E+03,1.45E+03
2.61E+03,1.37E+03
1.44E+03,6.88E+02
1.48E+03,8.48E+02
1.19E+03,7.58E+02
9.45E+02,5.74E+02
2.20E+03,1.17E+03
2.35E+03,1.27E+03
1.72E+03,1.08E+03
1.84E+03,8.43E+02
1.89E+03,9.58E+02
1.22E+03,7.37E+02
1.91E+03,9.68E+02
2.22E+03,1.19E+03
1.71E+03,8.34E+02
9.95E+02,4.77E+02
1.53E+03,8.55E+02
2.31E+03,1.35E+03
1.84E+03,1.10E+03
2.69E+03,1.66E+03
1.77E+03,9.35E+02
2.15E+03,1.39E+03
2.33E+03,1.47E+03
2.66E+03,1.52E+03
1.21E+03,6.99E+02
1.64E+03,9.08E+02
1.59E+03,8.55E+02
2.06E+03,1.34E+03
2.25E+03,1.33E+03
1.99E+03,1.23E+03
1.48E+03,7.10E+02
2.45E+03,1.28E+03
2.38E+03,1.51E+03
2.32E+03,1.36E+03
2.21E+03,1.29E+03
